Date,Open,High,Low,Close
05/14/2021,"4,228.29","4,236.39","4,056.88","4,173.85"
05/07/2021,"4,191.98","4,238.04","4,128.59","4,232.60"
04/30/2021,"4,185.03","4,218.78","4,174.85","4,181.17"
04/23/2021,"4,179.80","4,194.17","4,118.38","4,180.17"
04/16/2021,"4,124.71","4,191.31","4,114.82","4,185.47"
04/09/2021,"4,034.44","4,129.48","4,034.44","4,128.80"
04/01/2021,"3,969.31","4,020.63","3,943.25","4,019.87"
03/26/2021,"3,916.48","3,978.19","3,853.50","3,974.54"
03/19/2021,"3,942.96","3,983.87","3,886.75","3,913.10"
03/12/2021,"3,844.39","3,960.27","3,819.25","3,943.34"
03/05/2021,"3,842.51","3,914.50","3,723.34","3,841.94"
02/26/2021,"3,885.55","3,928.65","3,789.54","3,811.15"
02/19/2021,"3,939.61","3,950.43","3,885.03","3,906.71"
02/12/2021,"3,892.59","3,937.23","3,884.94","3,934.83"
02/05/2021,"3,731.17","3,894.56","3,725.62","3,886.83"
01/29/2021,"3,851.68","3,870.90","3,694.12","3,714.24"
01/22/2021,"3,781.88","3,861.45","3,780.37","3,841.47"
01/15/2021,"3,803.14","3,823.60","3,749.62","3,768.25"
01/08/2021,"3,764.61","3,826.69","3,662.71","3,824.68"
12/31/2020,"3,723.03","3,760.20","3,723.03","3,756.07"
12/24/2020,"3,684.28","3,711.24","3,636.48","3,703.06"
12/18/2020,"3,675.27","3,726.70","3,645.84","3,709.41"
12/11/2020,"3,694.73","3,712.39","3,633.40","3,663.46"
12/04/2020,"3,634.18","3,699.20","3,594.39","3,699.12"
11/27/2020,"3,566.82","3,644.31","3,552.77","3,638.35"
11/20/2020,"3,600.16","3,628.51","3,543.84","3,557.54"
11/13/2020,"3,583.04","3,645.99","3,511.91","3,585.15"
11/06/2020,"3,296.20","3,529.05","3,279.74","3,509.44"
10/30/2020,"3,441.42","3,441.42","3,233.94","3,269.96"
10/23/2020,"3,493.66","3,502.42","3,415.34","3,465.39"
10/16/2020,"3,500.02","3,549.85","3,440.89","3,483.81"
10/09/2020,"3,367.27","3,482.34","3,354.54","3,477.13"
10/02/2020,"3,333.90","3,397.18","3,323.69","3,348.44"
09/25/2020,"3,285.57","3,323.35","3,209.45","3,298.46"
09/18/2020,"3,363.56","3,428.92","3,292.40","3,319.47"
09/11/2020,"3,371.88","3,425.55","3,310.47","3,340.97"
09/04/2020,"3,509.73","3,588.11","3,349.63","3,426.96"
08/28/2020,"3,418.09","3,509.23","3,413.13","3,508.01"
08/21/2020,"3,380.86","3,399.96","3,354.69","3,397.16"
08/14/2020,"3,356.04","3,387.89","3,326.44","3,372.85"
08/07/2020,"3,288.26","3,352.54","3,284.53","3,351.28"
07/31/2020,"3,219.84","3,272.17","3,204.13","3,271.12"
07/24/2020,"3,224.29","3,279.99","3,200.05","3,215.63"
07/17/2020,"3,205.08","3,238.28","3,127.66","3,224.73"
07/10/2020,"3,155.29","3,186.82","3,115.70","3,185.04"
07/02/2020,"3,018.59","3,165.81","2,999.74","3,130.01"
06/26/2020,"3,094.42","3,154.90","3,004.63","3,009.05"
06/19/2020,"2,993.76","3,155.53","2,965.66","3,097.74"
06/12/2020,"3,199.92","3,233.13","2,984.47","3,041.31"
06/05/2020,"3,038.78","3,211.72","3,031.54","3,193.93"
05/29/2020,"3,004.08","3,068.67","2,969.75","3,044.31"
05/22/2020,"2,913.86","2,980.29","2,913.86","2,955.45"
05/15/2020,"2,794.54","2,865.01","2,766.64","2,863.70"
