Date,Open,High,Low,Close
05/13/2022,"4,081.27","4,081.27","3,858.87","4,023.89"
05/06/2022,"4,130.61","4,307.66","4,062.51","4,123.34"
04/29/2022,"4,255.34","4,308.45","4,124.28","4,131.93"
04/22/2022,"4,385.63","4,512.94","4,267.62","4,271.78"
04/14/2022,"4,462.64","4,471.00","4,381.34","4,392.59"
04/08/2022,"4,547.97","4,593.45","4,450.04","4,488.28"
04/01/2022,"4,541.09","4,637.30","4,507.57","4,545.86"
03/25/2022,"4,462.40","4,546.03","4,424.30","4,543.06"
03/18/2022,"4,202.75","4,465.40","4,161.72","4,463.12"
03/11/2022,"4,327.01","4,327.01","4,157.87","4,204.31"
03/04/2022,"4,354.17","4,416.78","4,279.54","4,328.87"
02/25/2022,"4,332.74","4,385.34","4,114.65","4,384.65"
02/18/2022,"4,412.61","4,489.55","4,327.22","4,348.87"
02/11/2022,"4,505.75","4,590.03","4,401.41","4,418.64"
02/04/2022,"4,431.79","4,595.31","4,414.02","4,500.53"
01/28/2022,"4,356.32","4,453.23","4,222.62","4,431.85"
01/21/2022,"4,632.24","4,632.24","4,395.34","4,397.94"
01/14/2022,"4,655.34","4,748.83","4,582.24","4,662.85"
01/07/2022,"4,778.14","4,818.62","4,662.74","4,677.03"
12/31/2021,"4,733.99","4,808.93","4,733.99","4,766.18"
12/23/2021,"4,587.90","4,740.74","4,531.10","4,725.79"
12/17/2021,"4,710.30","4,731.99","4,600.22","4,620.64"
12/10/2021,"4,548.37","4,713.57","4,540.51","4,712.02"
12/03/2021,"4,628.75","4,672.95","4,495.12","4,538.43"
11/26/2021,"4,712.00","4,743.83","4,585.43","4,594.62"
11/19/2021,"4,689.30","4,717.75","4,672.78","4,697.96"
11/12/2021,"4,701.48","4,714.92","4,630.86","4,682.85"
11/05/2021,"4,610.62","4,718.50","4,595.06","4,697.53"
10/29/2021,"4,553.69","4,608.08","4,537.36","4,605.38"
10/22/2021,"4,463.72","4,559.67","4,447.47","4,544.90"
10/15/2021,"4,385.44","4,475.82","4,329.92","4,471.37"
10/08/2021,"4,348.84","4,429.97","4,278.94","4,391.34"
10/01/2021,"4,442.12","4,457.30","4,288.52","4,357.04"
09/24/2021,"4,402.95","4,465.40","4,305.91","4,455.48"
09/17/2021,"4,474.81","4,492.99","4,427.76","4,432.99"
09/10/2021,"4,535.38","4,535.38","4,457.66","4,458.58"
09/03/2021,"4,513.76","4,545.85","4,513.76","4,535.43"
08/27/2021,"4,450.29","4,513.33","4,450.29","4,509.37"
08/20/2021,"4,461.65","4,480.26","4,367.73","4,441.67"
08/13/2021,"4,437.77","4,468.37","4,424.74","4,468.00"
08/06/2021,"4,406.86","4,440.82","4,373.00","4,436.52"
07/30/2021,"4,409.58","4,429.97","4,372.51","4,395.26"
07/23/2021,"4,296.40","4,415.18","4,233.13","4,411.79"
07/16/2021,"4,372.41","4,393.68","4,322.53","4,327.16"
07/09/2021,"4,356.46","4,371.60","4,289.37","4,369.55"
07/02/2021,"4,284.90","4,355.43","4,274.67","4,352.34"
06/25/2021,"4,173.40","4,286.12","4,173.40","4,280.70"
06/18/2021,"4,248.31","4,257.16","4,164.40","4,166.45"
06/11/2021,"4,229.34","4,249.74","4,208.41","4,247.44"
06/04/2021,"4,216.52","4,234.12","4,167.93","4,229.89"
05/28/2021,"4,170.16","4,218.36","4,170.16","4,204.11"
05/21/2021,"4,169.92","4,188.72","4,061.41","4,155.86"
05/14/2021,"4,074.99","4,183.13","4,074.99","4,173.85"
05/07/2021,"4,191.98","4,238.04","4,128.59","4,232.60"
04/30/2021,"4,185.03","4,218.78","4,174.85","4,181.17"
04/23/2021,"4,179.80","4,194.17","4,118.38","4,180.17"
04/16/2021,"4,124.71","4,191.31","4,114.82","4,185.47"
04/09/2021,"4,034.44","4,129.48","4,034.44","4,128.80"
04/01/2021,"3,969.31","4,020.63","3,943.25","4,019.87"
03/26/2021,"3,916.48","3,978.19","3,853.50","3,974.54"
03/19/2021,"3,942.96","3,983.87","3,886.75","3,913.10"
03/12/2021,"3,844.39","3,960.27","3,819.25","3,943.34"
03/05/2021,"3,842.51","3,914.50","3,723.34","3,841.94"
02/26/2021,"3,885.55","3,928.65","3,789.54","3,811.15"
02/19/2021,"3,939.61","3,950.43","3,885.03","3,906.71"
02/12/2021,"3,892.59","3,937.23","3,884.94","3,934.83"
02/05/2021,"3,731.17","3,894.56","3,725.62","3,886.83"
01/29/2021,"3,851.68","3,870.90","3,694.12","3,714.24"
01/22/2021,"3,781.88","3,861.45","3,780.37","3,841.47"
01/15/2021,"3,803.14","3,823.60","3,749.62","3,768.25"
01/08/2021,"3,764.61","3,826.69","3,662.71","3,824.68"
12/31/2020,"3,723.03","3,760.20","3,723.03","3,756.07"
12/24/2020,"3,684.28","3,711.24","3,636.48","3,703.06"
12/18/2020,"3,675.27","3,726.70","3,645.84","3,709.41"
12/11/2020,"3,694.73","3,712.39","3,633.40","3,663.46"
12/04/2020,"3,634.18","3,699.20","3,594.39","3,699.12"
11/27/2020,"3,566.82","3,644.31","3,552.77","3,638.35"
11/20/2020,"3,600.16","3,628.51","3,543.84","3,557.54"
11/13/2020,"3,583.04","3,645.99","3,511.91","3,585.15"
11/06/2020,"3,296.20","3,529.05","3,279.74","3,509.44"
10/30/2020,"3,441.42","3,441.42","3,233.94","3,269.96"
10/23/2020,"3,493.66","3,502.42","3,415.34","3,465.39"
10/16/2020,"3,500.02","3,549.85","3,440.89","3,483.81"
10/09/2020,"3,367.27","3,482.34","3,354.54","3,477.13"
10/02/2020,"3,333.90","3,397.18","3,323.69","3,348.44"
09/25/2020,"3,285.57","3,323.35","3,209.45","3,298.46"
